id;test;ctrl;valence;time;q1;q2;q3;q4;q5;q6;q7;q8;q9;q10;q11;q12;age;gender;income;work;car;edu;device;day;hour
161;6;7;3;2392;6;6;6;6;5;5;5;7;6;7;7;7;39.0;0.0;6.0;1.0;0.0;3.0;0;1;11
161;2;7;3;1533;6;6;6;6;5;5;5;7;6;7;7;7;39.0;0.0;6.0;1.0;0.0;3.0;0;1;11
161;2;7;3;1773;6;6;6;6;5;5;5;7;6;7;7;7;39.0;0.0;6.0;1.0;0.0;3.0;0;1;11
161;3;7;3;1365;6;6;6;6;5;5;5;7;6;7;7;7;39.0;0.0;6.0;1.0;0.0;3.0;0;1;11
161;3;6;2;1692;6;6;6;6;5;5;5;7;6;7;7;7;39.0;0.0;6.0;1.0;0.0;3.0;0;1;11
161;2;5;4;1413;6;6;6;6;5;5;5;7;6;7;7;7;39.0;0.0;6.0;1.0;0.0;3.0;0;1;11
161;5;5;4;1339;6;6;6;6;5;5;5;7;6;7;7;7;39.0;0.0;6.0;1.0;0.0;3.0;0;1;11
161;6;6;3;2185;6;6;6;6;5;5;5;7;6;7;7;7;39.0;0.0;6.0;1.0;0.0;3.0;0;1;11
161;3;5;4;1362;6;6;6;6;5;5;5;7;6;7;7;7;39.0;0.0;6.0;1.0;0.0;3.0;0;1;11
161;5;7;3;2038;6;6;6;6;5;5;5;7;6;7;7;7;39.0;0.0;6.0;1.0;0.0;3.0;0;1;11
161;5;5;4;1594;6;6;6;6;5;5;5;7;6;7;7;7;39.0;0.0;6.0;1.0;0.0;3.0;0;1;11
161;6;5;4;1740;6;6;6;6;5;5;5;7;6;7;7;7;39.0;0.0;6.0;1.0;0.0;3.0;0;1;11
161;1;7;4;1831;6;6;6;6;5;5;5;7;6;7;7;7;39.0;0.0;6.0;1.0;0.0;3.0;0;1;11
161;1;7;3;2608;6;6;6;6;5;5;5;7;6;7;7;7;39.0;0.0;6.0;1.0;0.0;3.0;0;1;11
161;4;7;3;1472;6;6;6;6;5;5;5;7;6;7;7;7;39.0;0.0;6.0;1.0;0.0;3.0;0;1;11
161;2;6;2;1817;6;6;6;6;5;5;5;7;6;7;7;7;39.0;0.0;6.0;1.0;0.0;3.0;0;1;11
